year_of_death;code;age;sex;disease;number_of_death
1979-2021;01;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;22
1979-2021;02;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;47
1979-2021;03;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;20
1979-2021;04;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;6
1979-2021;05;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;2
1979-2021;06;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;43
1979-2021;07;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;9
1979-2021;08;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;13
1979-2021;09;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;10
1979-2021;10;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;19
1979-2021;11;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;12
1979-2021;12;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;7
1979-2021;13;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;96
1979-2021;14;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;37
1979-2021;15;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;10
1979-2021;16;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;16
1979-2021;17;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;24
1979-2021;18;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;11
1979-2021;19;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;6
1979-2021;21;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;24
1979-2021;22;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;23
1979-2021;23;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;2
1979-2021;24;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;14
1979-2021;25;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;36
1979-2021;26;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;23
1979-2021;27;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;26
1979-2021;28;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;15
1979-2021;29;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;43
